Name,Series,Year,Used Sales Data,Used Minifig-only Sales Data,New Sales Data,Leg Sales,Torso Sales,Head Sales,Hair/Hat Sales,MassComplete,MassMinifig,Gendered,Human,HeadOnly,BodySuit,LivingAddOn,HandsFull,NumberofAccessories,Number of Parts
Evil Robot,8,2012,5.74,4.58,7.53,0.68,0.83,1.15,0.88,11.1,4.3,0,0,0,0,0,0,2,4
Lederhosen Guy,8,2012,13.88,11.13,17.49,1.76,1.51,1.66,6.49,9.9,3.5,0,1,0,0,0,0,1,5
Cowgirl,8,2012,6.21,5.62,8.54,0.39,1.86,1.24,0.41,10.7,4.2,1,1,0,0,0,0,1,4
Football Player,8,2012,9.72,8.77,13.73,0.97,1.3,0.65,4.15,11.2,4.49,0,1,0,0,0,0,1,6
Downhill Skier,8,2012,13.81,5.72,17.79,1.03,0.66,0.52,5.41,11.1,3.56,1,1,0,0,0,1,4,4
Businessman,8,2012,14.69,10.69,16.69,0.37,3.53,1.59,2.57,10.5,3.48,0,1,0,0,0,1,2,4
Santa,8,2012,6.97,2.79,9.18,0.29,0.43,0.57,0.35,11.2,4,0,0,0,0,0,0,1,5
Vampire Bat,8,2012,8.3,7.35,9.48,0.37,0.9,1.41,0.59,10.2,3.92,0,0,0,0,0,0,0,4
DJ,8,2012,8.89,6.45,11.82,0.96,1.04,1.19,0.74,10.5,3.5,0,1,0,0,0,1,2,4
Red Cheerleader,8,2012,9.41,5.75,11.83,0.51,0.96,4.29,0.5,11.4,3.9,1,1,0,0,0,1,2,4
Pirate Captain,8,2012,5.65,3.88,7.45,0.42,1.65,0.65,0.52,10,3.65,0,1,0,0,0,0,1,5
Alien Villainess,8,2012,11.1,10.17,14.09,0.16,0.78,0.5,1,12.1,5.4,1,0,0,0,0,0,2,7
Waiter,9,2013,16.42,14.96,20.72,0.37,7.19,1.13,0.31,11,3.39,0,1,0,0,0,0,2,4
Cyclops,9,2013,3.98,3.55,6.18,0.63,1.18,0.93,0.58,11,3.67,0,0,0,0,0,0,1,4
Hollywood Starlet,9,2013,16.08,14.91,19.64,1.17,2.45,5.22,0.82,11,4.61,1,1,0,0,0,0,1,4
Heroic Knight,9,2013,8.63,8.4,11.63,0.62,0.55,0.78,4.43,12,4.88,0,1,0,0,0,1,2,7
Roman Emperor,9,2013,5.02,4.45,7.34,1.24,1.36,1.01,2.21,10,3.28,0,1,0,0,0,0,1,4
Policeman,9,2013,5.08,3.9,7.73,0.38,1.4,0.85,0.6,11,3.46,0,1,0,0,0,1,2,4
Chicken Suit Guy,9,2013,9.86,5.58,18.26,2.7,1.72,3.69,3.26,11,4.13,0,1,0,1,0,0,0,4
Roller Derby Girl,9,2013,14.01,8.35,12.51,0.97,1.3,1.22,1.12,10,3.6,1,1,0,0,0,0,0,6
Fortune Teller,9,2013,13.57,9.45,16.8,0.29,0.41,1.38,3.01,12,4.98,1,1,0,0,0,1,2,4
Judge,9,2013,6.87,6.94,9.28,0.37,0.96,0.54,1.56,11,4.17,0,1,0,0,0,0,1,5
Alien Avenger,9,2013,4.23,3.54,5.95,0.48,1.15,0.58,0.98,12,5.41,0,1,0,0,0,0,1,5
Mermaid,9,2013,7.09,7.86,9.99,1.43,1.5,0.75,0.69,13,5.48,1,0,0,0,1,0,1,4
Battle Mech,9,2013,4.85,4.98,6.61,0.99,0.95,0.55,0.91,10.2,4.71,0,1,0,0,0,0,0,5
Mr. Good and Evil,9,2013,5.34,3.66,6.63,0.28,0.81,0.37,1.12,11,3.52,0,1,0,0,0,0,1,4
Forest Maiden,9,2013,15.2,13.65,21,0.21,4.48,2.14,1.95,12.3,5.1,1,1,0,0,0,1,2,4
Plumber,9,2013,11.59,5.66,14.83,0.81,1.2,1.57,0.23,10,3.36,0,1,0,0,0,0,1,4
Librarian,10,2013,18.31,13.85,22.24,3.2,5.7,0.65,0.57,11.3,3.89,1,1,0,0,0,1,2,4
Roman Commander,10,2013,7.34,5.95,10.07,1.17,1.74,0.61,3.77,10.75,4.4,0,1,0,0,0,0,1,6
Warrior Woman,10,2013,4.97,3.38,6.88,0.68,0.73,0.49,0.68,11.5,4.11,1,1,0,0,0,1,2,4
